country_name,state,lat,lng
Afghanistan,,33.0,65.0
Albania,,41.1533,20.1683
Algeria,,28.0339,1.6596
Andorra,,42.5063,1.5218
Antigua and Barbuda,,17.0608,-61.7964
Argentina,,-38.4161,-63.6167
Armenia,,40.0691,45.0382
Aruba,,12.5211,-69.9683
Australia,Australian Capital Territory,-35.4735,149.0124
Australia,From Diamond Princess,35.4437,139.638
Australia,New South Wales,-33.8688,151.2093
Australia,Northern Territory,-12.4634,130.8456
Australia,Queensland,-28.0167,153.4
Australia,South Australia,-34.9285,138.6007
Australia,Tasmania,-41.4545,145.9707
Australia,Victoria,-37.8136,144.9631
Australia,Western Australia,-31.9505,115.8605
Austria,,47.5162,14.5501
Azerbaijan,,40.1431,47.5769
Bahrain,,26.0275,50.55
Bangladesh,,23.685,90.3563
Belarus,,53.7098,27.9534
Belgium,,50.8333,4.0
Bhutan,,27.5142,90.4336
Bolivia,,-16.2902,-63.5887
Bosnia and Herzegovina,,43.9159,17.6791
Brazil,,-14.235,-51.9253
Brunei,,4.5353,114.7277
Bulgaria,,42.7339,25.4858
Burkina Faso,,12.2383,-1.5616
Cambodia,,11.55,104.9167
Cameroon,,3.8480000000000003,11.5021
Canada,Alberta,53.9333,-116.5765
Canada,British Columbia,49.2827,-123.1207
Canada,Grand Princess,37.6489,-122.6655
Canada,Manitoba,53.7609,-98.8139
Canada,New Brunswick,46.5653,-66.4619
Canada,Ontario,51.2538,-85.3232
Canada,Quebec,52.9399,-73.5491
Canada,Saskatchewan,52.9399,-106.4509
Cayman Islands,,19.3133,-81.2546
Chile,,-35.6751,-71.543
China,Anhui,31.8257,117.2264
China,Beijing,40.1824,116.4142
China,Chongqing,30.0572,107.874
China,Fujian,26.0789,117.9874
China,Gansu,37.8099,101.0583
China,Guangdong,23.3417,113.4244
China,Guangxi,23.8298,108.7881
China,Guizhou,26.8154,106.8748
China,Hainan,19.1959,109.7453
China,Hebei,39.549,116.1306
China,Heilongjiang,47.861999999999995,127.7615
China,Henan,33.882,113.61399999999999
China,Hong Kong,22.3,114.2
China,Hubei,30.9756,112.2707
China,Hunan,27.6104,111.7088
China,Inner Mongolia,44.0935,113.9448
China,Jiangsu,32.9711,119.455
China,Jiangxi,27.614,115.7221
China,Jilin,43.6661,126.1923
China,Liaoning,41.2956,122.6085
China,Macau,22.1667,113.55
China,Ningxia,37.2692,106.1655
China,Qinghai,35.7452,95.9956
China,Shaanxi,35.1917,108.8701
China,Shandong,36.3427,118.1498
China,Shanghai,31.201999999999998,121.4491
China,Shanxi,37.5777,112.2922
China,Sichuan,30.6171,102.7103
China,Tianjin,39.3054,117.323
China,Tibet,31.6927,88.0924
China,Xinjiang,41.1129,85.2401
China,Yunnan,24.974,101.48700000000001
China,Zhejiang,29.1832,120.0934
Colombia,,4.5709,-74.2973
Congo (Kinshasa),,-4.0383,21.7587
Costa Rica,,9.7489,-83.7534
Cote d'Ivoire,,7.54,-5.5471
Croatia,,45.1,15.2
Cruise Ship,Diamond Princess,35.4437,139.638
Cuba,,22.0,-80.0
